[2026-08-28 10:10:35] ,-1,0,0,18
[2026-08-28 10:10:35] ms,energy,r1600,r2000,r2400,r280ms,energy,r1600,r2000,r2400,r2800,best,tone,armed,move,dropped
[2026-08-28 10:10:43] 6405,0,0.000,0.000,0.000,0.000,-1,-1,0,0,29
[2026-08-28 10:10:43] 6435,2,0.001,0.010,0.001,0.007,1,-1,0,0,29
[2026-08-28 10:10:43] 6465,1,0.005,0.005,0.005,0.005,3,-1,0,0,29
[2026-08-28 10:10:43] 6496,1,0.005,0.005,0.005,0.005,1,-1,0,0,29
[2026-08-28 10:10:43] 6524,1,0.005,0.005,0.005,0.005,3,-1,0,0,29
[2026-08-28 10:10:44] 6554,2,0.001,0.005,0.009,0.010,3,-1,0,0,30
[2026-08-28 10:10:44] 6585,2,0.001,0.005,0.009,0.000,2,-1,0,0,30
[2026-08-28 10:10:44] 6616,1,0.005,0.005,0.005,0.005,1,-1,0,0,30
[2026-08-28 10:10:44] 6645,4,0.006,0.003,0.012,0.004,2,-1,0,0,30
[2026-08-28 10:10:44] 6673,2,0.007,0.010,0.007,0.001,1,-1,0,0,30
[2026-08-28 10:10:44] 6699,0,0.000,0.000,0.000,0.000,-1,-1,0,0,31
[2026-08-28 10:10:44] 6728,2,0.007,0.010,0.007,0.001,1,-1,0,0,31
[2026-08-28 10:10:44] 6760,2,0.001,0.000,0.001,0.003,3,-1,0,0,31
[2026-08-28 10:10:44] 6785,0,0.000,0.000,0.000,0.000,-1,-1,0,0,31
[2026-08-28 10:10:44] 6813,3,0.010,0.008,0.002,0.000,0,-1,0,0,31
[2026-08-28 10:10:44] 6839,1,0.005,0.005,0.005,0.005,3,-1,0,0,31
[2026-08-28 10:10:44] 6864,0,0.000,0.000,0.000,0.000,-1,-1,0,0,31
[2026-08-28 10:10:44] 6891,2,0.007,0.005,0.003,0.002,0,-1,0,0,31
[2026-08-28 10:10:44] 6916,0,0.000,0.000,0.000,0.000,-1,-1,0,0,31
[2026-08-28 10:10:44] 6940,0,0.000,0.000,0.000,0.000,-1,-1,0,0,31
[2026-08-28 10:10:44] 6965,0,0.000,0.000,0.000,0.000,-1,-1,0,0,31
[2026-08-28 10:10:44] 6995,4,0.001,0.000,0.001,0.005,3,-1,0,0,31
[2026-08-28 10:10:44] 7023,1,0.005,0.005,0.005,0.005,3,-1,0,0,31
[2026-08-28 10:10:44] 7048,0,0.000,0.000,0.000,0.000,-1,-1,0,0,32
[2026-08-28 10:10:44] 7072,0,0.000,0.000,0.000,0.000,-1,-1,0,0,32
[2026-08-28 10:10:44] 7101,1,0.005,0.005,0.005,0.005,3,-1,0,0,32
[2026-08-28 10:10:44] 7132,1,0.005,0.005,0.005,0.005,1,-1,0,0,32
[2026-08-28 10:10:44] 7160,1,0.005,0.005,0.005,0.005,3,-1,0,0,32
[2026-08-28 10:10:44] 7186,1,0.005,0.005,0.005,0.005,3,-1,0,0,32
[2026-08-28 10:10:44] 7215,1,0.005,0.005,0.005,0.005,3,-1,0,0,32
[2026-08-28 10:10:44] 7245,4,0.000,0.010,0.002,0.013,3,-1,0,0,32
[2026-08-28 10:10:44] 7273,1,0.005,0.005,0.005,0.005,3,-1,0,0,32
[2026-08-28 10:10:44] 7304,2,0.001,0.005,0.009,0.010,3,-1,0,0,33
[2026-08-28 10:10:44] 7334,1,0.005,0.005,0.005,0.005,1,-1,0,0,33
[2026-08-28 10:10:44] 7359,0,0.000,0.000,0.000,0.000,-1,-1,0,0,33
[2026-08-28 10:10:44] 7386,1,0.005,0.005,0.005,0.005,3,-1,0,0,33
[2026-08-28 10:10:44] 7414,1,0.005,0.005,0.005,0.005,3,-1,0,0,33
[2026-08-28 10:10:44] 7444,3,0.010,0.008,0.002,0.004,0,-1,0,0,33
[2026-08-28 10:10:44] 7472,1,0.005,0.005,0.005,0.005,1,-1,0,0,33
[2026-08-28 10:10:44] 7502,5,0.005,0.013,0.004,0.004,1,-1,0,0,34
[2026-08-28 10:10:44] 7528,1,0.005,0.005,0.005,0.005,3,-1,0,0,34
[2026-08-28 10:10:45] 7559,1,0.005,0.005,0.005,0.005,1,-1,0,0,34
[2026-08-28 10:10:45] 7584,1,0.005,0.005,0.005,0.005,1,-1,0,0,34
[2026-08-28 10:10:45] 7613,7,0.009,0.001,0.002,0.002,0,-1,0,0,34
[2026-08-28 10:10:45] 7645,6,0.002,0.002,0.000,0.007,3,-1,0,0,34
[2026-08-28 10:10:45] 7669,0,0.000,0.000,0.000,0.000,-1,-1,0,0,34
[2026-08-28 10:10:45] 7695,3,0.004,0.002,0.000,0.000,0,-1,0,0,34
[2026-08-28 10:10:45] 7719,0,0.000,0.000,0.000,0.000,-1,-1,0,0,34
